Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,EVENT,SecondCell_RSRQ,Eid
611.0,4G,LTE,46.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,572.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,713.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,6266.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,24209.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,18038.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,17880.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,18228.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,19635.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,14207.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,9613.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,19763.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,21197.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,14590.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,14709.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,9150.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,10904.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,13994.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,10109.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,5455.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,6490.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,5286.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,4307.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,1194.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,656.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,1832.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,1416.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,1531.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,1280.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,849.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,308.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
611.0,4G,LTE,107.0,487.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,1105.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,2112.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,3949.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,3063.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,1922.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,2880.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,1766.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
613.0,4G,LTE,1561.0,457.0,193.0,193.0,21.0,N,D,499.0,1000.0,4Mns15
